[#FFFFFF] 2022/11/14 00:14:31 | [#008000] Current session log file was created!
[#FFFFFF] 2022/11/14 00:14:31 | [#FFFFFF] Starting Core2D...
[#FFFFFF] 2022/11/14 00:14:31 | [#008000] Core2D started!
[#FFFFFF] 2022/11/14 00:14:31 | [#FFFFFF] LWJGL version is 3.3.1 SNAPSHOT
[#FFFFFF] 2022/11/14 00:14:36 | [#FF0000] OpenGL error: 1280
[#FFFFFF] 2022/11/14 00:14:36 | [#FFFFFF] Initializing compiler...  
[#FFFFFF] 2022/11/14 00:14:42 | [#FFFFFF] source does not exists
[#FFFFFF] 2022/11/14 00:14:42 | [#FFFFFF] source id: 2
[#FFFFFF] 2022/11/14 00:14:42 | [#FFFFFF] source exist
[#FFFFFF] 2022/11/14 00:14:42 | [#FFFFFF] source id: 2
[#FFFFFF] 2022/11/14 00:15:20 | [#FF0000] File by path 'D:\Pixelfield\Java Projects\SungearEngine2D\Engine\Projects\PROJECT12\SceneManager.txt' already exists
