[#FFFFFF] 2023/03/15 01:36:11 | [#008000] Current session log file was created!

[#FFFFFF] 2023/03/15 01:36:11 | [#FFFFFF] Starting Core2D...

[#FFFFFF] 2023/03/15 01:36:12 | [#008000] Core2D started!

[#FFFFFF] 2023/03/15 01:36:12 | [#FFFFFF] LWJGL version is 3.3.1 SNAPSHOT

[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#FFFF00] ECSWorld created!

[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#FF0000] File by path 'test.txt' already exists

[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:12 | [#FFFFFF] Initializing compiler...  

[#FFFFFF] 2023/03/15 01:36:14 | [#9932CC] Called from: Core2D.ECS.ECSWorld::addComponent. Line: 53 [#FFFFFF] | [#FFFF00] Value of field 'entity' in component 'Core2D.ECS.Component.Components.Audio.AudioComponent@794cb805' is equals null. It will be added in блять забыл

[#FFFFFF] 2023/03/15 01:36:14 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:14 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:14 | [#9932CC] Called from: Core2D.ECS.System.Systems.AudioSystem::update. Line: 71 [#FFFFFF] | [#008000] vlad zhoshe: PLAYING

[#FFFFFF] 2023/03/15 01:36:14 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:14 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:17 | [#FFFF00] texture data path: D:\Pixelfield\SungearEngine2D\Engine\Projects\new_kakish\Resources\kakish_city.jpg

[#FFFFFF] 2023/03/15 01:36:17 | [#FFFF00] texture data path: D:\Pixelfield\SungearEngine2D\Engine\Projects\new_kakish\Resources\vlad.png

[#FFFFFF] 2023/03/15 01:36:17 | [#FFFF00] texture data path: D:\Pixelfield\SungearEngine2D\Engine\Projects\new_kakish\Resources\facts_files.png

[#FFFFFF] 2023/03/15 01:36:17 | [#FFFF00] texture data path: D:\Pixelfield\SungearEngine2D\Engine\Projects\new_kakish\Resources\ferapont.png

[#FFFFFF] 2023/03/15 01:36:17 | [#FFFF00] texture data path: D:\Pixelfield\SungearEngine2D\Engine\Projects\new_kakish\Resources/slay.png

[#FFFFFF] 2023/03/15 01:36:18 | [#9932CC] Called from: Core2D.ECS.System.Systems.AudioSystem::update. Line: 71 [#FFFFFF] | [#008000] vlad zhoshe: STOPPED

[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
